frame,rect_id,x,y,w,h
0,0,1102,205,178,515
0,1,225,166,465,506
1,0,1106,191,174,529
1,1,228,162,463,504
2,0,1111,201,169,519
2,1,230,160,462,502
3,0,1112,189,168,531
3,1,232,156,461,501
4,0,1115,187,165,533
4,1,233,153,461,500
5,0,1122,198,158,522
5,1,235,149,461,498
6,0,1126,196,154,524
6,1,237,145,460,497
7,0,1128,188,152,532
7,1,238,141,460,496
8,0,1130,179,150,541
8,1,240,137,459,496
9,0,242,132,458,496
10,0,244,128,457,496
11,0,246,123,457,495
12,0,248,119,457,495
13,0,250,114,457,495
14,0,253,109,456,495
15,0,255,105,456,495
16,0,257,101,456,495
17,0,259,96,458,496
18,0,262,93,455,496
19,0,264,89,456,497
20,0,267,86,456,496
21,0,270,82,456,498
22,0,272,79,457,498
23,0,275,76,458,499
24,0,278,73,458,499
25,0,280,70,459,501
26,0,283,68,459,501
27,0,286,65,459,502
28,0,288,63,460,502
29,0,291,60,461,503
30,0,293,57,462,505
31,0,295,55,463,505
32,0,298,52,463,506
33,0,301,49,463,507
34,0,303,46,465,507
35,0,305,43,465,508
36,0,307,41,466,509
37,0,310,38,466,509
38,0,312,36,466,510
39,0,314,33,466,510
40,0,315,32,468,510
41,0,317,31,467,510
42,0,319,29,467,511
43,0,320,29,468,511
44,0,321,28,468,511
45,0,322,27,469,511
46,0,324,27,468,511
47,0,325,26,469,511
48,0,325,25,470,512
49,0,326,25,470,512
50,0,327,24,470,513
51,0,327,24,470,512
52,0,327,24,471,513
53,0,328,24,470,513
54,0,329,24,471,513
55,0,329,24,471,513
56,0,330,24,471,513
57,0,330,24,472,514
58,0,331,24,472,514
59,0,330,24,473,515
60,0,330,24,473,516
61,0,330,27,473,516
62,0,330,30,477,515
63,0,330,34,472,514
64,0,329,39,472,514
65,0,329,44,472,513
66,0,329,46,475,513
67,0,328,49,472,514
68,0,328,52,471,512
69,0,328,54,471,512
70,0,328,56,470,512
71,0,328,59,470,511
72,0,328,60,469,512
73,0,328,62,469,511
74,0,328,63,469,512
75,0,328,65,468,511
76,0,327,66,469,511
77,0,327,67,468,511
78,0,326,69,468,510
79,0,326,70,467,511
80,0,326,71,472,511
81,0,326,73,467,511
82,0,326,74,466,510
83,0,325,75,467,510
84,0,324,76,466,511
85,0,323,78,466,509
86,0,323,79,465,509
87,0,322,79,465,510
88,0,321,80,464,509
89,0,320,81,464,508
90,0,319,81,464,508
91,0,318,83,466,507
92,0,318,84,461,506
93,0,317,84,460,506
94,0,316,85,459,506
95,0,314,86,459,505
96,0,313,86,458,505
97,0,311,88,458,503
98,0,310,89,456,503
99,0,308,90,458,502
100,0,306,90,454,502
101,0,304,91,453,502
102,0,302,92,456,501
103,0,302,93,451,500
104,0,302,93,452,500
105,0,302,94,454,500
106,0,303,94,448,500
107,0,304,95,445,498
108,0,305,95,445,498
109,0,307,95,448,498
110,0,309,96,447,496
111,0,311,96,441,496
112,0,314,96,439,495
113,0,317,97,437,494
114,0,320,97,435,493
115,0,322,97,434,493
116,0,325,97,433,492
117,0,328,97,435,491
118,0,331,97,430,490
119,0,334,97,430,490
120,0,336,97,427,489
121,0,338,97,431,488
122,0,339,96,431,488
123,0,341,96,423,487
124,0,343,95,422,487
125,0,345,94,427,487
126,0,347,93,425,488
127,0,349,93,423,487
128,0,352,92,420,487
129,0,354,91,423,488
130,0,356,90,420,489
131,0,358,90,424,488
132,0,360,89,424,489
133,0,361,89,418,489
134,0,362,88,418,491
135,0,363,88,419,491
136,0,364,87,418,492
137,0,365,86,419,493
138,0,366,86,419,493
139,0,367,85,419,494
140,0,368,85,425,495
141,0,370,84,420,496
142,0,371,84,421,496
143,0,372,83,419,498
144,0,373,82,421,499
145,0,374,82,421,500
146,0,375,81,422,502
147,0,376,80,422,503
148,0,376,79,423,505
149,0,377,79,427,506
150,0,377,78,424,508
151,0,376,78,429,510
152,0,376,77,426,512
153,0,376,77,430,512
154,0,375,76,427,514
155,0,375,76,431,515
156,0,375,75,429,517
157,0,375,74,431,519
158,0,375,74,434,520
159,0,375,73,429,522
160,0,374,73,430,523
161,0,374,73,433,524
162,0,373,72,435,526
163,0,372,71,432,527
164,0,371,70,433,529
165,0,370,70,431,529
166,0,368,69,435,531
167,0,368,67,435,534
168,0,367,67,435,534
169,0,365,66,439,536
170,0,364,65,435,538
171,0,363,65,438,539
172,0,363,64,439,540
173,0,362,63,437,542
174,0,360,63,437,543
175,0,360,63,443,544
176,0,360,62,441,545
177,0,360,61,441,546
178,0,360,60,440,547
179,0,360,60,441,547
180,0,359,59,440,549
181,0,358,59,442,549
182,0,357,58,440,551
183,0,356,58,440,552
184,0,355,58,436,552
185,0,354,57,439,554
186,0,352,56,437,555
187,0,349,56,438,556
188,0,347,55,438,557
189,0,344,54,436,558
190,0,342,53,439,559
191,0,340,52,438,560
192,0,339,51,434,561
193,0,337,50,432,563
194,0,335,49,436,564
195,0,334,49,435,564
196,0,0,193,157,527
196,1,335,48,433,565
197,0,0,128,163,592
197,1,333,48,433,566
198,0,0,195,156,525
198,1,331,48,431,567
199,0,331,48,428,567
200,0,0,126,170,594
200,1,332,48,427,568
201,0,332,48,426,568
