frame,rect_id,x,y,w,h
0,0,405,56,456,619
0,1,956,0,324,628
0,2,916,0,364,689
0,3,0,0,404,660
1,0,402,54,457,622
1,1,953,0,327,629
1,2,913,0,367,691
1,3,0,0,402,661
2,0,400,55,457,620
2,1,952,0,328,630
2,2,914,0,366,690
2,3,0,0,401,658
3,0,400,53,455,620
3,1,952,0,328,628
3,2,914,0,366,688
3,3,0,0,400,656
4,0,397,50,457,623
4,1,950,0,330,628
4,2,912,0,368,688
4,3,0,0,398,655
5,0,397,51,456,620
5,1,949,0,331,626
5,2,911,0,369,686
5,3,0,0,397,654
6,0,395,49,456,621
6,1,948,0,332,624
6,2,911,0,369,684
6,3,0,0,395,653
7,0,394,45,455,624
7,1,947,0,333,622
7,2,909,0,371,683
7,3,0,0,393,652
8,0,392,44,456,623
8,1,945,0,335,621
8,2,907,0,373,681
8,3,0,0,392,651
9,0,390,42,455,623
9,1,943,0,337,619
9,2,906,0,374,679
9,3,0,0,390,650
10,0,388,42,456,622
10,1,942,0,338,618
10,2,904,0,376,678
10,3,0,0,388,649
11,0,386,42,455,621
11,1,940,0,340,617
11,2,903,0,377,677
11,3,0,0,386,648
12,0,385,40,454,622
12,1,938,0,342,616
12,2,901,0,379,676
12,3,0,0,384,647
13,0,383,37,455,624
13,1,936,0,344,615
13,2,899,0,381,675
13,3,0,0,383,647
14,0,382,36,454,624
14,1,935,0,345,614
14,2,898,0,382,673
14,3,0,0,382,645
15,0,380,37,454,622
15,1,934,0,346,613
15,2,897,0,383,672
15,3,0,0,380,644
16,0,379,34,454,624
16,1,933,0,347,612
16,2,896,0,384,672
16,3,0,0,379,643
17,0,378,33,454,623
17,1,932,0,348,610
17,2,895,0,385,670
17,3,0,0,378,642
18,0,377,32,454,623
18,1,932,0,348,609
18,2,894,0,386,668
18,3,0,0,375,641
19,0,376,30,455,625
19,1,930,0,350,608
19,2,893,0,387,668
19,3,0,0,375,641
20,0,376,31,454,622
20,1,930,0,350,607
20,2,893,0,387,667
20,3,0,0,375,640
21,0,375,28,454,624
21,1,929,0,351,606
21,2,892,0,388,665
21,3,0,0,374,638
22,0,374,27,454,624
22,1,928,0,352,605
22,2,891,0,389,665
22,3,0,0,373,638
23,0,374,26,453,624
23,1,927,0,353,604
23,2,891,0,389,663
23,3,0,0,373,637
24,0,373,25,454,625
24,1,926,0,354,603
24,2,890,0,390,662
24,3,0,0,372,637
25,0,373,24,453,625
25,1,926,0,354,602
25,2,889,0,391,661
25,3,0,0,371,636
26,0,372,24,453,624
26,1,925,0,355,601
26,2,889,0,391,661
26,3,0,0,370,635
27,0,371,24,454,623
27,1,924,0,356,600
27,2,888,0,392,660
27,3,0,0,370,635
28,0,371,24,453,622
28,1,924,0,356,600
28,2,888,0,392,659
28,3,0,0,369,634
29,0,370,22,453,624
29,1,923,0,357,599
29,2,887,0,393,658
29,3,0,0,369,635
30,0,370,23,453,622
30,1,923,0,357,598
30,2,887,0,393,658
30,3,0,0,368,634
31,0,370,22,453,623
31,1,922,0,358,598
31,2,885,0,395,657
31,3,0,0,368,634
32,0,369,23,453,622
32,1,921,0,359,598
32,2,885,0,395,657
32,3,0,0,367,635
33,0,369,24,453,622
33,1,921,0,359,598
33,2,885,0,395,659
33,3,0,0,367,636
34,0,368,23,454,624
34,1,920,0,360,599
34,2,883,0,397,659
34,3,0,0,367,637
35,0,368,26,454,621
35,1,919,0,361,599
35,2,883,0,397,659
35,3,0,0,366,638
36,0,368,26,453,622
36,1,919,0,361,600
36,2,882,0,398,660
36,3,0,0,366,639
37,0,367,28,454,621
37,1,918,0,362,601
37,2,881,0,399,661
37,3,0,0,366,640
38,0,367,29,454,621
38,1,917,0,363,602
38,2,881,0,399,662
38,3,0,0,365,641
39,0,366,30,455,621
39,1,917,0,363,603
39,2,880,0,400,663
39,3,0,0,365,642
40,0,366,32,455,621
40,1,916,0,364,604
40,2,879,0,401,664
40,3,0,0,364,644
41,0,366,33,454,621
41,1,916,0,364,605
41,2,879,0,401,666
41,3,0,0,364,645
42,0,365,33,455,622
42,1,915,0,365,606
42,2,878,0,402,667
42,3,0,0,364,647
43,0,365,34,455,622
