frame,rect_id,first,second,fourth,fifth
20,../paintings_db/009.png,../paintings_db/067.png,../paintings_db/007.png,../paintings_db/088.png,../paintings_db/029.png
36,../paintings_db/009.png,../paintings_db/031.png,../paintings_db/083.png,../paintings_db/088.png,../paintings_db/027.png
52,../paintings_db/009.png,../paintings_db/087.png,../paintings_db/030.png,../paintings_db/092.png,../paintings_db/075.png
55,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/083.png,../paintings_db/092.png,../paintings_db/042.png
76,../paintings_db/039.png,../paintings_db/083.png,../paintings_db/031.png,../paintings_db/092.png,../paintings_db/086.png
99,../paintings_db/039.png,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/031.png,../paintings_db/007.png
101,../paintings_db/009.png,../paintings_db/056.png,../paintings_db/030.png,../paintings_db/083.png,../paintings_db/052.png
103,../paintings_db/083.png,../paintings_db/009.png,../paintings_db/023.png,../paintings_db/092.png,../paintings_db/054.png
116,../paintings_db/039.png,../paintings_db/043.png,../paintings_db/027.png,../paintings_db/009.png,../paintings_db/012.png
126,../paintings_db/083.png,../paintings_db/093.png,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/092.png
134,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/092.png,../paintings_db/075.png,../paintings_db/017.png
153,../paintings_db/093.png,../paintings_db/089.png,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/029.png
155,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/029.png,../paintings_db/054.png,../paintings_db/042.png
165,../paintings_db/093.png,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/030.png,../paintings_db/003.png
173,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/060.png,../paintings_db/083.png,../paintings_db/042.png
176,../paintings_db/042.png,../paintings_db/045.png,../paintings_db/071.png,../paintings_db/092.png,../paintings_db/009.png
185,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/029.png,../paintings_db/014.png,../paintings_db/082.png
193,../paintings_db/039.png,../paintings_db/031.png,../paintings_db/042.png,../paintings_db/093.png,../paintings_db/045.png
235,../paintings_db/061.png,../paintings_db/032.png,../paintings_db/070.png,../paintings_db/054.png,../paintings_db/034.png
239,../paintings_db/012.png,../paintings_db/060.png,../paintings_db/040.png,../paintings_db/042.png,../paintings_db/008.png
241,../paintings_db/019.png,../paintings_db/088.png,../paintings_db/013.png,../paintings_db/008.png,../paintings_db/007.png
244,../paintings_db/054.png,../paintings_db/092.png,../paintings_db/090.png,../paintings_db/006.png,../paintings_db/019.png
260,../paintings_db/081.png,../paintings_db/020.png,../paintings_db/040.png,../paintings_db/091.png,../paintings_db/010.png
261,../paintings_db/006.png,../paintings_db/061.png,../paintings_db/019.png,../paintings_db/054.png,../paintings_db/088.png
269,../paintings_db/054.png,../paintings_db/039.png,../paintings_db/007.png,../paintings_db/061.png,../paintings_db/081.png
280,../paintings_db/091.png,../paintings_db/081.png,../paintings_db/002.png,../paintings_db/031.png,../paintings_db/054.png
288,../paintings_db/018.png,../paintings_db/027.png,../paintings_db/040.png,../paintings_db/054.png,../paintings_db/044.png
291,../paintings_db/015.png,../paintings_db/061.png,../paintings_db/041.png,../paintings_db/007.png,../paintings_db/013.png
302,../paintings_db/052.png,../paintings_db/061.png,../paintings_db/029.png,../paintings_db/054.png,../paintings_db/003.png
314,../paintings_db/091.png,../paintings_db/061.png,../paintings_db/018.png,../paintings_db/029.png,../paintings_db/050.png
317,../paintings_db/052.png,../paintings_db/092.png,../paintings_db/022.png,../paintings_db/034.png,../paintings_db/088.png
340,../paintings_db/052.png,../paintings_db/040.png,../paintings_db/045.png,../paintings_db/014.png,../paintings_db/056.png
342,../paintings_db/018.png,../paintings_db/014.png,../paintings_db/015.png,../paintings_db/054.png,../paintings_db/003.png
384,../paintings_db/042.png,../paintings_db/018.png,../paintings_db/020.png,../paintings_db/010.png,../paintings_db/081.png
410,../paintings_db/002.png,../paintings_db/018.png,../paintings_db/088.png,../paintings_db/071.png,../paintings_db/042.png
417,../paintings_db/061.png,../paintings_db/060.png,../paintings_db/042.png,../paintings_db/054.png,../paintings_db/002.png
423,../paintings_db/091.png,../paintings_db/075.png,../paintings_db/014.png,../paintings_db/061.png,../paintings_db/011.png
428,../paintings_db/061.png,../paintings_db/088.png,../paintings_db/071.png,../paintings_db/045.png,../paintings_db/044.png
434,../paintings_db/032.png,../paintings_db/082.png,../paintings_db/061.png,../paintings_db/018.png,../paintings_db/052.png
487,../paintings_db/046.png,../paintings_db/027.png,../paintings_db/002.png,../paintings_db/061.png,../paintings_db/048.png
511,../paintings_db/040.png,../paintings_db/061.png,../paintings_db/091.png,../paintings_db/046.png,../paintings_db/014.png
512,../paintings_db/091.png,../paintings_db/002.png,../paintings_db/022.png,../paintings_db/094.png,../paintings_db/038.png
670,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/030.png,../paintings_db/054.png,../paintings_db/029.png
671,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/067.png,../paintings_db/030.png,../paintings_db/079.png
673,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/062.png,../paintings_db/042.png,../paintings_db/013.png
682,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/089.png,../paintings_db/029.png,../paintings_db/042.png
688,../paintings_db/009.png,../paintings_db/025.png,../paintings_db/038.png,../paintings_db/092.png,../paintings_db/039.png
702,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/042.png,../paintings_db/083.png,../paintings_db/077.png
717,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/077.png,../paintings_db/092.png,../paintings_db/048.png
723,../paintings_db/026.png,../paintings_db/039.png,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/055.png
727,../paintings_db/009.png,../paintings_db/085.png,../paintings_db/075.png,../paintings_db/089.png,../paintings_db/029.png
737,../paintings_db/075.png,../paintings_db/017.png,../paintings_db/077.png,../paintings_db/030.png,../paintings_db/014.png
749,../paintings_db/042.png,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/082.png,../paintings_db/027.png
763,../paintings_db/009.png,../paintings_db/082.png,../paintings_db/010.png,../paintings_db/060.png,../paintings_db/054.png
769,../paintings_db/042.png,../paintings_db/013.png,../paintings_db/060.png,../paintings_db/054.png,../paintings_db/075.png
776,../paintings_db/026.png,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/024.png,../paintings_db/019.png
